Name,Quantity,Measurement,Ingredient
noah stir fry,⅓,cup,water
noah stir fry,1,green,bell pepper
noah stir fry,2,blocks,tofu
silken tofu tiramisu,4t,instant,coffee
silken tofu tiramisu,4T,hot,water
silken tofu tiramisu,60,g,oats
silken tofu tiramisu,Cocoa,powder,
silken tofu tiramisu,Coconut,flakes,
silken tofu tiramisu,600g,silken,tofu
silken tofu tiramisu,80g,sugar,
silken tofu tiramisu,2t,vanilla,
silken tofu tiramisu,⅛,t,salt
tvp burgers,2c,TVP,
tvp burgers,220,g,chopped onion
tvp burgers,2,T,garlic
tvp burgers,1c,kidney,beans
tvp burgers,1,½,T onion powder
tvp burgers,1,½,T chili powder
tvp burgers,2T,Italian,seasoning
tvp burgers,2,t,iodized salt
tvp burgers,½,c,nutritional yeast
tvp burgers,3,T,balsamic vinegar
tvp burgers,½,c,vital wheat gluten
tvp burgers,,,buns
tvp burgers,,,ketchup
tvp burgers,,,tomato
tvp burgers,baby,kale,
protein pancakes,340,g,silken tofu
protein pancakes,1,½,c unsweetened milk
protein pancakes,2,T,maple syrup
protein pancakes,2,t,vanilla extract
protein pancakes,2,t,lemon juice
protein pancakes,3,½,c spelt flour
protein pancakes,2,t,baking powder
protein pancakes,1,t,baking soda
protein pancakes,1,t,cinnamon
protein pancakes,¼,t,iodized salt
protein pancakes,240,g,yogurt
protein pancakes,2c,frozen,blueberries
protein pancakes,2T,hemp,seeds
veggie lo mein,8,oz,spaghetti
veggie lo mein,1,T,oil
veggie lo mein,1,red,bell pepper
veggie lo mein,1,cup,shredded carrots
veggie lo mein,3,cloves,garlic
veggie lo mein,3,cups,broccoli florets
veggie lo mein,1,cup,snow peas
veggie lo mein,¼,t,salt
veggie lo mein,Sliced,green,onions
veggie lo mein,⅓,cup,soy sauce
veggie lo mein,1,T,ginger
veggie lo mein,1,T,agave/maple
veggie lo mein,1,T,sesame oil
veggie lo mein,2,t,sriracha
buttermilk biscuits,1,cup,soy milk
buttermilk biscuits,1,tablespoon,apple cider vinegar
buttermilk biscuits,2.5,cups,flour
buttermilk biscuits,2,tablespoons,baking powder
buttermilk biscuits,2,teaspoons,sugar
buttermilk biscuits,1,teaspoon,salt
buttermilk biscuits,0.5,cup,butter
chickpea noodle soup,2,tablespoons,extra virgin olive oil
chickpea noodle soup,1,small,"onion, chopped"
chickpea noodle soup,1,"shallot,",chopped
chickpea noodle soup,2,stalks,"celery, chopped"
chickpea noodle soup,2,"carrots,",sliced into ¼ inch rounds
chickpea noodle soup,Salt,and,"pepper, to taste"
chickpea noodle soup,3,cloves,"garlic, minced"
chickpea noodle soup,15.5,oz,"chickpeas, drained and rinsed"
chickpea noodle soup,2,bay,leaves
chickpea noodle soup,2,sprigs,fresh rosemary
chickpea noodle soup,4,cups,vegetable broth
chickpea noodle soup,2,cups,cold water
chickpea noodle soup,2,strips,lemon peel
chickpea noodle soup,6,oz,pasta
chickpea noodle soup,3,tablespoons,yellow miso
chickpea noodle soup,Red,pepper,"flakes, to taste"
chickpea noodle soup,Dill,and,"lemon wedges, for garnish"
tofu & kale stir fry,2,blocks,tofu
tofu & kale stir fry,1,tablespoon,curry powder
tofu & kale stir fry,2,tablespoons,soy sauce
tofu & kale stir fry,½,red,cabbage
tofu & kale stir fry,6-8,kale,leaves
tofu & kale stir fry,2,carrots,
tofu & kale stir fry,2,cloves,garlic
tofu & kale stir fry,2,inches,ginger
tofu & kale stir fry,4,tablespoons,soy sauce
tofu & kale stir fry,4,portions,of noodles
breakfast hash,3,medium,potatoes
breakfast hash,1,yellow,onion
breakfast hash,1,bell,pepper
breakfast hash,1,zucchini,
breakfast hash,8,oz,mushrooms
breakfast hash,½,teaspoon,garlic powder
breakfast hash,½,teaspoon,cumin powder
breakfast hash,½,teaspoon,smoked paprika
breakfast hash,Salt,and,pepper
breakfast hash,Optional:,2-3,tablespoons oil
mediterranean zoodles,2,,zucchini
mediterranean zoodles,1,teaspoon,olive oil
mediterranean zoodles,4,cloves,garlic
mediterranean zoodles,10,oz,cherry tomatoes
mediterranean zoodles,0.5,cup,artichoke hearts
mediterranean zoodles,0.25,cup,sun-dried tomatoes
mediterranean zoodles,4,oz,plain hummus
mediterranean zoodles,1,teaspoon,oregano
mediterranean zoodles,0.5,teaspoon,red wine vinegar
protein bagels,2,cups,flour
protein bagels,0.25,teaspoon,salt
protein bagels,2,teaspoons,baking powder
protein bagels,1.5,cups,Greek yogurt
sausage,1,cup,cooked quinoa
sausage,1,can,pinto beans
sausage,2,cups,sliced cremini mushrooms
sausage,2,tablespoons,soy sauce
sausage,1,tablespoon,thyme/rosemary/sage
